Sample,ATP5PF,ATP6V0E1,PIGX,SPCS1,GABARAPL2,DDT,SDR
7_P0104,0.077926935,0.293632812,0.004343471,0.106805159,0.118044663,0.088817839,0
3_TDM0433,0.04241898,0.113040013,0.003098192,0.041164419,0.027455109,0.011967373,0
7_P0149,0.171164913,0.593660749,0.014060921,0.197644903,0.222059465,0.174958821,0
7_TDM0315,0.069857471,0.540153114,0.002345854,0.079818272,0.136142486,0.072520164,0
7_TDM0088,0.021624901,0.090305547,0.000501381,0.029994904,0.016618345,0.03583555,0
7_KMUH0438,0.021193209,0.304040407,0.001771281,0.027558974,0.029918814,0.032004427,0
7_KMUH0441,0.009691377,0.142241273,0.000677446,0.013261598,0.01937137,0.024572452,0
3_KMTH0534,0.019440936,0.127812485,0.002528298,0.020091053,0.015626728,0.009262522,0
7_KMTH0709,0.011186827,0.190806028,0.00082265,0.010231582,0.01522872,0.03312503,0
7_KMUH0110,0.112440579,0.421850078,0.004274634,0.137273538,0.189281783,0.100294838,0
7_KMTH0674,0.070780403,0.171649575,0.003382845,0.081816981,0.069446783,0.049564804,0
7_P0123,0.086421507,0.342127709,0.01927286,0.083213115,0.146884939,0.083845242,0
3_TDM0480,0.01779006,0.071514164,0.001008479,0.037498391,0.016470123,0.013831363,0
7_TDM0012,0.115305932,0.20866319,0.004874929,0.130792865,0.101838063,0.128717423,0
7_P0132,0.046672179,0.254160311,0.001357924,0.056706083,0.068033242,0.072260826,0
7_TDM0442,0.064247925,0.23135095,0.003851712,0.09023575,0.077405057,0.045519061,0
7_TDM0183,0.02386619,0.088154029,0.000870706,0.062658607,0.030530376,0.06167488,0
7_KMUH0486,0.105798463,0.380389794,0.007169775,0.128116264,0.13629406,0.093763196,0
7_TDM0083,0.002613233,0.046101392,0.000472175,0.003920161,0.003806493,0.007301602,0
8_KMUH0046,0.007017577,0.026810267,0.000275441,0.004108779,0.001939014,0.030221611,0
7_KMTH0609,0.023554272,0.198661627,0.000674227,0.03463138,0.024657347,0.027087146,0
7_TDM0166,0.006634818,0.158815663,0.000310891,0.008263057,0.006972075,0.024212865,0
7_P0125,0.086965515,0.294543799,0.003784185,0.098537384,0.091455635,0.122223398,0
7_TDM0037,0.04135867,0.08554416,0.000452542,0.052502146,0.028321521,0.060751965,0
7_KMTH0227,0.039266349,0.200509892,0.003803501,0.063932451,0.063659316,0.046958889,0
7_KMTH0022,0.029829843,0.220545895,0.001095772,0.029536429,0.048750615,0.056887403,0
7_TDM0321,0.16079282,0.810754035,0.006619025,0.259217888,0.277552994,0.31214407,0
7_TDM0205,0.089929857,0.216225455,0.004543745,0.146717582,0.082017683,0.084710603,0
7_KMUH0443,0.012123545,0.142291685,0.002191793,0.032119662,0.020890152,0.028440117,0
7_KMTH0001,0.017843351,0.148143138,0.002016734,0.017611696,0.020344991,0.071292302,0
3_TDM0222,0.012930789,0.048646373,0.001304334,0.017385058,0.014214648,0.013362131,0
7_TDM0451,0.106860199,0.485559778,0.006455987,0.295376398,0.236041363,0.118213487,0
7_P0131,0.136780549,0.358118299,0.003741985,0.155706708,0.123353739,0.084047969,0
7_TDM0111,0.114804283,0.2374403,0.001771855,0.137095036,0.103749614,0.247918432,0
7_TDM0214,0.110154095,0.342887204,0.00631534,0.159892889,0.114777883,0.092216994,0
7_TDM0449,0.129156488,0.544800114,0.0101784,0.183140191,0.180040766,0.166534887,0
7_P0190,0.071616491,0.250673885,0.002780932,0.0924141,0.08938386,0.078180815,0
8_KMUH0137,0.017209379,0.061818278,0.001070851,0.016265202,0.020648294,0.036326742,0
3_TDM0004,0.001539878,0.020874473,0.000446452,0.000946766,0.031473385,0.019819311,0
7_KMUH0447,0.042060605,0.139389439,0.002431472,0.074368682,0.04661856,0.070731726,0
3_KMUH0141,0.014397865,0.059969197,0.001459455,0.041614101,0.026393643,0.012091437,0
7_P0195,0.063397517,0.331745929,0.00367493,0.075545032,0.073899409,0.054924575,0
7_KMTH0620,0.115364179,0.319695844,0.003399241,0.130790922,0.102404667,0.106914735,0
3_KMUH0432,0.003555658,0.032067385,0.000649272,0.005265632,0.006232035,0.004131009,0
7_KMTH0691,0.024682011,0.198777402,0.001282016,0.03148225,0.029138402,0.028325788,0
8_KMUH0006,0.03353752,0.139654846,0.002045623,0.019170831,0.043243887,0.040280185,0
7_KMTH0209,0.097078226,0.25577258,0.002926042,0.1050383,0.104493948,0.109528682,0
3_TDM0255,0.001664847,0.03039597,0.00030847,0.002780069,0.002050152,0.00335895,0
3_TDM0492,0.026473415,0.087968666,0.001805317,0.048664449,0.031109818,0.015538493,0
8_KMTH0053,0.003664664,0.038286583,0.002686338,0.001394658,0.002646704,0.008948245,0
7_KMUH0151,0.199998859,0.475029872,0.007086598,0.18616363,0.214260683,0.140451811,0
7_TDM0178,0.009867399,0.200318582,0.000615341,0.012312442,0.014400422,0.025218067,0
7_KMTH0004,0.077034734,0.339577651,0.006356285,0.096466601,0.119224115,0.100125389,0
8_KMTH0670,0.0160561,0.046521478,0.000673639,0.017716142,0.020284945,0.022664456,0
7_KMUH0446,0.014621787,0.313481691,0.000839614,0.026044301,0.026392012,0.031041871,0
7_KMUH0525,0.072654313,0.331020453,0.00241617,0.079915741,0.111145698,0.084475204,0
7_TDM0283,0.105615813,0.443834788,0.001860819,0.12209397,0.155525357,0.13851809,0
8_KMUH0093,0.099265221,0.188129165,0.00199427,0.108905837,0.05480293,0.038361858,0
3_Co0423,0.02570275,0.089252408,0.002237172,0.027666993,0.001132654,0.003388859,0
7_TDM0134,0.112544991,0.375530652,0.002081671,0.135968745,0.133702331,0.146455583,0
7_KMTH0037,0.159747557,0.324959187,0.002458382,0.167874156,0.160943207,0.09248286,0
7_KMTH0229,0.055857825,0.349696602,0.001244578,0.08379263,0.07975095,0.068214316,0
7_KMTH0201,0.062856174,0.310294198,0.001992688,0.037792471,0.100698159,0.053165087,0
1_TDM0374,0.03842336,0.08348137,0.001220939,0.048404299,0.030861895,0.044208277,0
7_KMTH0520,0.047447928,0.20298295,0.002325133,0.038832614,0.072251855,0.040356736,0
